,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.016342100000001025,1.0,150,0.4,2048
1,1,0.043737800000000604,0.0,150,0.4,2048
2,2,0.08211430000000064,1.0,150,0.5,2048
3,3,0.016710299999999734,0.0,150,0.5,2048
4,4,0.0445133000000002,2.0,150,0.6,2048
5,5,0.08293950000000017,1.0,150,0.6,2048
6,6,0.016791900000001192,1.0,150,0.6,2048
7,7,0.04501699999999964,1.0,150,0.6,2048
8,8,0.08294200000000096,1.0,150,0.6,2048
9,9,0.12196080000000009,1.0,150,0.6,2048
10,10,0.1501645000000007,0.0,150,0.6,2048
11,11,0.18910980000000066,1.0,200,0.4,2048
12,12,0.21700280000000127,0.0,200,0.4,2048
13,13,0.2461859999999998,1.0,200,0.5,2048
14,14,0.022602700000000198,1.0,200,0.5,2048
15,15,0.059140899999999164,1.0,200,0.5,2048
16,16,0.10738979999999998,0.0,200,0.5,2048
17,17,0.022409600000001362,0.0,200,0.6,2048
18,18,0.06094130000000142,0.0,300,0.4,2048
19,19,0.11037690000000033,0.0,300,0.5,2048
20,20,0.1569704000000005,0.0,300,0.6,2048
