,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,5.0,0.016342100000001025,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",150,0.4,2048
1,1,1.0,0.043737800000000604,"[6, 7, 1, 7, 8, 5, 4, 8, 7, 5, 3, 8, 1, 3, 4, 1, 0, 2, 2, 5]",150,0.4,2048
2,2,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
3,4,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
4,8,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
5,16,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
6,32,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
7,64,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
8,128,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
9,256,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
10,512,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
11,1024,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
12,2048,0.0,0.08211430000000064,"[2, 6, 7, 4, 1, 2, 5, 5, 7, 6, 1, 0, 6, 8, 7, 8, 8, 2, 2, 2]",150,0.4,2048
13,0,5.0,0.016710299999999734,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",150,0.5,2048
14,1,1.0,0.0445133000000002,"[7, 7, 1, 8, 5, 6, 0, 2, 1, 7, 5, 4, 3, 3, 3, 0, 0, 6, 0, 1]",150,0.5,2048
15,2,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
16,4,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
17,8,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
18,16,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
19,32,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
20,64,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
21,128,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
22,256,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
23,512,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
24,1024,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
25,2048,0.0,0.08293950000000017,"[3, 6, 1, 4, 0, 8, 6, 7, 8, 5, 4, 7, 1, 3, 2, 6, 4, 4, 5, 7]",150,0.5,2048
26,0,5.0,0.016791900000001192,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",150,0.6,2048
