,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,5.0,0.001371799999999368,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",False,10,0.25,512
1,1,3.0,0.2307655000000004,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
2,2,3.0,0.47970429999999986,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
3,4,3.0,0.9690793000000006,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
4,8,3.0,1.9317996999999991,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
5,16,3.0,3.828873699999999,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
6,32,3.0,7.586027000000001,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
7,64,3.0,12.0375197,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
8,128,3.0,12.0375197,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
9,256,3.0,12.0375197,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
10,512,3.0,12.0375197,"[1.0, 5.0, 6.0, 4.0, 0.0, 0.0, 2.0, 1.0, 4.0, 5.0, 6.0, 3.0, 6.0, 7.0, 0.0, 5.0, 7.0, 4.0, 3.0, 1.0]",False,10,0.25,512
11,0,5.0,0.0013529000000005453,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",False,10,0.5,512
12,1,3.0,0.23305249999999944,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
13,2,3.0,0.48881680000000216,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
14,4,3.0,0.9766423999999994,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
15,8,3.0,1.937888000000001,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
16,16,3.0,3.8224047,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
17,32,3.0,7.603242100000003,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
18,64,3.0,12.061386900000002,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
19,128,3.0,12.061386900000002,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
20,256,3.0,12.061386900000002,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
21,512,3.0,12.061386900000002,"[0.0, 8.0, 8.0, 1.0, 6.0, 2.0, 6.0, 8.0, 3.0, 0.0, 1.0, 0.0, 4.0, 4.0, 6.0, 8.0, 8.0, 2.0, 2.0, 2.0]",False,10,0.5,512
22,0,5.0,0.00134639999999564,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",False,10,0.75,512
23,1,2.0,0.23966249999999434,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
24,2,2.0,0.49909809999999766,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
25,4,2.0,0.9942325999999966,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
26,8,2.0,1.9622118999999998,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
27,16,2.0,3.8594422999999978,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
28,32,2.0,7.625817299999994,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
29,64,2.0,12.110670499999998,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
30,128,2.0,12.110670499999998,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
31,256,2.0,12.110670499999998,"[6.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 8.0, 3.0, 0.0, 1.0, 0.0, 8.0, 7.0, 0.0, 7.0, 7.0, 2.0, 2.0, 2.0]",False,10,0.75,512
