,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00021309999999985507,5.0,1,8192
1,1,0.0008799000000010437,3.0,1,8192
2,2,0.012727100000001101,3.0,1,8192
3,3,0.02424150000000047,3.0,1,8192
4,4,0.024511200000000954,3.0,1,8192
5,5,0.03887270000000065,2.0,1,8192
6,6,0.03930979999999984,2.0,1,8192
7,7,0.03958399999999962,2.0,1,8192
8,8,0.039846000000000714,3.0,1,8192
9,9,0.05391739999999956,3.0,1,8192
10,10,0.05422459999999951,4.0,1,8192
11,11,0.05450740000000032,4.0,1,8192
12,12,0.05478620000000056,4.0,1,8192
13,13,0.0551629000000009,4.0,1,8192
14,14,0.05548549999999963,4.0,1,8192
15,15,0.05576630000000016,4.0,1,8192
16,16,0.05602320000000027,4.0,1,8192
17,17,0.07218310000000017,4.0,1,8192
18,18,0.07309140000000092,6.0,1,8192
19,19,0.07384000000000057,5.0,1,8192
20,20,0.074542000000001,3.0,1,8192
21,21,0.07539449999999981,3.0,1,8192
22,22,0.07588729999999977,3.0,1,8192
23,23,0.07669500000000085,3.0,1,8192
24,24,0.07739639999999959,2.0,1,8192
25,25,0.0779955999999995,2.0,1,8192
26,26,0.07879319999999979,2.0,1,8192
27,27,0.0792294000000009,2.0,1,8192
28,28,0.07955989999999957,2.0,1,8192
29,29,0.07995860000000121,2.0,1,8192
30,30,0.0806742000000007,2.0,1,8192
31,31,0.08118080000000027,2.0,1,8192
32,32,0.08139429999999948,2.0,1,8192
33,33,0.09859580000000001,2.0,1,8192
34,34,0.09900679999999973,2.0,1,8192
35,35,0.09947410000000012,2.0,1,8192
36,36,0.09985709999999948,1.0,1,8192
37,37,0.1004631000000007,1.0,1,8192
38,38,0.10082520000000095,1.0,1,8192
39,39,0.10116610000000037,1.0,1,8192
40,40,0.10135640000000024,1.0,1,8192
41,41,0.10164720000000038,1.0,1,8192
42,42,0.10218460000000107,1.0,1,8192
43,43,0.1025967000000012,1.0,1,8192
44,44,0.10292410000000096,1.0,1,8192
45,45,0.10394879999999951,1.0,1,8192
46,46,0.10455669999999984,1.0,1,8192
47,47,0.10497669999999992,1.0,1,8192
48,48,0.10550300000000057,2.0,1,8192
49,49,0.10603680000000004,2.0,1,8192
50,50,0.10656170000000031,1.0,1,8192
51,51,0.10712559999999982,1.0,1,8192
52,52,0.10751379999999955,1.0,1,8192
53,53,0.10810850000000016,1.0,1,8192
54,54,0.10868879999999947,1.0,1,8192
55,55,0.10905400000000043,1.0,1,8192
56,56,0.10938450000000088,1.0,1,8192
57,57,0.10970750000000073,1.0,1,8192
58,58,0.11009980000000041,1.0,1,8192
59,59,0.1104642000000009,1.0,1,8192
60,60,0.11104560000000063,2.0,1,8192
61,61,0.11162570000000116,2.0,1,8192
62,62,0.1122525999999997,2.0,1,8192
