,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,5.0,0.00021309999999985507,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9999978582757231,1,8192
1,1,5.0,0.0008799000000010437,"[3, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9999911567485843,1,8192
2,2,3.0,0.012727100000001101,"[3, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9998720965509026,1,8192
3,4,3.0,0.024511200000000954,"[3, 3, 7, 4, 6, 2, 6, 7, 4, 8, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9997536845484608,1,8192
4,8,2.0,0.039846000000000714,"[3, 3, 7, 4, 6, 2, 6, 7, 4, 8, 7, 0, 2, 5, 6, 1, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9995996144932598,1,8192
5,16,4.0,0.05602320000000027,"[3, 6, 7, 1, 6, 2, 3, 7, 7, 3, 7, 0, 2, 1, 2, 1, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9994371065084294,1,8192
6,32,2.0,0.08139429999999948,"[4, 6, 7, 1, 6, 2, 3, 3, 3, 6, 7, 0, 1, 1, 2, 4, 7, 5, 1, 4]",geometric,1,0.99,0.001,0.9991822944519837,1,8192
7,64,2.0,0.11297840000000114,"[4, 6, 7, 6, 8, 4, 5, 3, 3, 3, 8, 1, 1, 7, 2, 4, 7, 5, 6, 5]",geometric,1,0.99,0.001,0.9988651735389271,1,8192
8,128,0.0,0.13451900000000094,"[5, 5, 7, 6, 4, 8, 3, 4, 0, 3, 6, 1, 1, 7, 2, 1, 7, 8, 1, 8]",geometric,1,0.99,0.001,0.9986489523590566,1,8192
9,256,0.0,0.13451900000000094,"[5, 5, 7, 6, 4, 8, 3, 4, 0, 3, 6, 1, 1, 7, 2, 1, 7, 8, 1, 8]",geometric,1,0.99,0.001,0.9986489523590566,1,8192
10,512,0.0,0.13451900000000094,"[5, 5, 7, 6, 4, 8, 3, 4, 0, 3, 6, 1, 1, 7, 2, 1, 7, 8, 1, 8]",geometric,1,0.99,0.001,0.9986489523590566,1,8192
11,1024,0.0,0.13451900000000094,"[5, 5, 7, 6, 4, 8, 3, 4, 0, 3, 6, 1, 1, 7, 2, 1, 7, 8, 1, 8]",geometric,1,0.99,0.001,0.9986489523590566,1,8192
12,2048,0.0,0.13451900000000094,"[5, 5, 7, 6, 4, 8, 3, 4, 0, 3, 6, 1, 1, 7, 2, 1, 7, 8, 1, 8]",geometric,1,0.99,0.001,0.9986489523590566,1,8192
13,4096,0.0,0.13451900000000094,"[5, 5, 7, 6, 4, 8, 3, 4, 0, 3, 6, 1, 1, 7, 2, 1, 7, 8, 1, 8]",geometric,1,0.99,0.001,0.9986489523590566,1,8192
