,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006262799999999569,5.0,False,10,0.25,512
1,1,0.056451999999999725,5.0,False,10,0.25,512
2,2,0.12057969999999996,5.0,False,10,0.25,512
3,3,0.18415159999999986,5.0,False,10,0.25,512
4,4,0.22947359999999994,5.0,False,10,0.25,512
5,5,0.2941602999999997,5.0,False,10,0.25,512
6,6,0.34620409999999957,5.0,False,10,0.25,512
7,7,0.39382579999999967,5.0,False,10,0.25,512
8,8,0.43785289999999977,5.0,False,10,0.25,512
9,9,0.4968372999999997,5.0,False,10,0.25,512
10,10,0.5410001999999996,5.0,False,10,0.25,512
11,11,0.5910119999999996,5.0,False,10,0.25,512
12,12,0.6333908999999998,5.0,False,10,0.25,512
13,13,0.6791118999999997,5.0,False,10,0.25,512
14,14,0.7229474999999996,5.0,False,10,0.25,512
15,15,0.7658643999999994,5.0,False,10,0.25,512
16,16,0.8074105,5.0,False,10,0.25,512
17,17,0.8601085999999998,5.0,False,10,0.25,512
18,18,0.9063703999999997,5.0,False,10,0.25,512
19,19,0.9506481999999994,5.0,False,10,0.25,512
20,20,0.9942981999999998,5.0,False,10,0.25,512
21,21,1.0398368999999996,5.0,False,10,0.25,512
22,22,1.0872606999999994,5.0,False,10,0.25,512
23,23,1.1384778,5.0,False,10,0.25,512
24,24,1.1828406,5.0,False,10,0.25,512
25,25,1.2271853,5.0,False,10,0.25,512
26,26,1.2693718999999999,5.0,False,10,0.25,512
27,27,1.3128153999999994,5.0,False,10,0.25,512
28,28,1.3550095,5.0,False,10,0.25,512
29,29,1.3970074999999995,5.0,False,10,0.25,512
30,30,1.4389311,5.0,False,10,0.25,512
31,31,1.4811032000000002,5.0,False,10,0.25,512
32,32,1.5228853,5.0,False,10,0.25,512
33,33,1.5764786000000002,5.0,False,10,0.25,512
34,34,1.6214098,5.0,False,10,0.25,512
35,35,1.6643972999999996,5.0,False,10,0.25,512
36,36,1.7059506999999994,5.0,False,10,0.25,512
37,37,1.7488150999999994,5.0,False,10,0.25,512
38,38,1.7993618999999996,5.0,False,10,0.25,512
39,39,1.8431149000000002,5.0,False,10,0.25,512
40,40,1.8855390999999995,5.0,False,10,0.25,512
41,41,1.9312156999999996,5.0,False,10,0.25,512
42,42,1.9731988999999994,5.0,False,10,0.25,512
43,43,2.0199351,5.0,False,10,0.25,512
44,44,2.0647920999999996,5.0,False,10,0.25,512
45,45,2.1087671,5.0,False,10,0.25,512
46,46,2.1558493999999997,5.0,False,10,0.25,512
47,47,2.1977201999999996,5.0,False,10,0.25,512
48,48,2.2464633,5.0,False,10,0.25,512
49,49,2.2879725999999994,5.0,False,10,0.25,512
50,50,2.330251,5.0,False,10,0.25,512
51,51,2.3740703999999995,5.0,False,10,0.25,512
52,52,2.4262794,5.0,False,10,0.25,512
53,53,2.4692683,5.0,False,10,0.25,512
54,54,2.5125954,5.0,False,10,0.25,512
55,55,2.5629698,5.0,False,10,0.25,512
56,56,2.6052176999999994,5.0,False,10,0.25,512
57,57,2.6470122999999997,5.0,False,10,0.25,512
58,58,2.6922859999999997,5.0,False,10,0.25,512
59,59,2.7339039,5.0,False,10,0.25,512
60,60,2.7759033999999994,5.0,False,10,0.25,512
61,61,2.8171316999999996,5.0,False,10,0.25,512
62,62,2.8602899999999996,5.0,False,10,0.25,512
63,63,2.9068275,5.0,False,10,0.25,512
64,64,2.9496602,5.0,False,10,0.25,512
65,65,3.0036624,5.0,False,10,0.25,512
66,66,3.0452277999999997,5.0,False,10,0.25,512
67,67,3.0870918,5.0,False,10,0.25,512
68,68,3.1282707999999997,5.0,False,10,0.25,512
69,69,3.1716579,5.0,False,10,0.25,512
70,70,3.2157283,5.0,False,10,0.25,512
71,71,3.2596516999999996,5.0,False,10,0.25,512
72,72,3.3034072999999995,5.0,False,10,0.25,512
73,73,3.3527339,5.0,False,10,0.25,512
74,74,3.3950508999999998,5.0,False,10,0.25,512
75,75,3.4426488,5.0,False,10,0.25,512
76,76,3.4866179999999996,5.0,False,10,0.25,512
77,77,3.531119,5.0,False,10,0.25,512
78,78,3.5727068999999996,5.0,False,10,0.25,512
79,79,3.6139086,5.0,False,10,0.25,512
80,80,3.6558764,5.0,False,10,0.25,512
81,81,3.6972552999999997,5.0,False,10,0.25,512
82,82,3.7390204,5.0,False,10,0.25,512
83,83,3.7823378,5.0,False,10,0.25,512
84,84,3.8238919,5.0,False,10,0.25,512
85,85,3.8656361999999995,5.0,False,10,0.25,512
86,86,3.9092371,5.0,False,10,0.25,512
87,87,3.9517886,5.0,False,10,0.25,512
88,88,3.9940259999999994,5.0,False,10,0.25,512
89,89,4.0356401,5.0,False,10,0.25,512
90,90,4.0776033,5.0,False,10,0.25,512
91,91,4.119497599999999,5.0,False,10,0.25,512
92,92,4.160684399999999,5.0,False,10,0.25,512
93,93,4.202481000000001,5.0,False,10,0.25,512
94,94,4.244461599999999,5.0,False,10,0.25,512
