,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,10.0,0.006262799999999569,"[6, 3, 4, 6, 2, 7, 4, 4]",False,10,0.25,512
1,1,5.0,0.056451999999999725,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
2,2,5.0,0.12057969999999996,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
3,4,5.0,0.22947359999999994,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
4,8,5.0,0.43785289999999977,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
5,16,5.0,0.8074105,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
6,32,5.0,1.5228853,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
7,64,5.0,2.9496602,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
8,128,5.0,5.723026600000001,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
9,256,5.0,11.2452561,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
10,512,5.0,21.7823712,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.25,512
11,0,10.0,0.0034473000000012632,"[6, 3, 4, 6, 2, 7, 4, 4]",False,10,0.5,512
12,1,5.0,0.04683640000000011,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
13,2,5.0,0.11970230000000015,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
14,4,5.0,0.23482740000000035,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
15,8,5.0,0.4382263000000002,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
16,16,5.0,0.8234713000000013,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
17,32,5.0,1.5591369000000022,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
18,64,5.0,2.9528005999999998,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
19,128,5.0,5.755000500000001,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
20,256,5.0,11.308062,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
21,512,5.0,22.294877,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.5,512
22,0,10.0,0.0038812999999962017,"[6, 3, 4, 6, 2, 7, 4, 4]",False,10,0.75,512
23,1,5.0,0.05701150000000155,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
24,2,5.0,0.12378009999999762,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
25,4,5.0,0.23632330000000223,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
26,8,5.0,0.43622919999999965,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
27,16,5.0,0.8759487999999962,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
28,32,5.0,1.6831429,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
29,64,5.0,4.0663946999999965,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
30,128,5.0,11.407177499999996,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
31,256,5.0,26.3481903,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
32,512,5.0,54.9815316,"[6.0, 1.0, 3.0, 0.0, 3.0, 5.0, 1.0, 1.0]",False,10,0.75,512
33,0,10.0,0.17018139999998994,"[6, 3, 4, 6, 2, 7, 4, 4]",False,200,0.25,512
34,1,2.0,0.4427961999999894,"[6.0, 3.0, 0.0, 2.0, 5.0, 7.0, 1.0, 3.0]",False,200,0.25,512
35,2,2.0,0.7723981999999978,"[6.0, 3.0, 0.0, 2.0, 5.0, 7.0, 1.0, 3.0]",False,200,0.25,512
36,4,1.0,1.343086299999996,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
37,8,1.0,2.414501399999992,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
38,16,1.0,4.572979500000002,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
39,32,1.0,8.6236976,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
40,64,1.0,16.976399799999996,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
41,128,1.0,33.400074700000005,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
42,256,1.0,66.31788660000001,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
43,512,1.0,117.9412178,"[3.0, 5.0, 7.0, 4.0, 0.0, 0.0, 6.0, 1.0]",False,200,0.25,512
44,0,10.0,0.1755169000000194,"[6, 3, 4, 6, 2, 7, 4, 4]",False,200,0.5,512
45,1,3.0,0.45183810000000335,"[1.0, 6.0, 2.0, 7.0, 2.0, 0.0, 6.0, 4.0]",False,200,0.5,512
46,2,2.0,0.7903392000000053,"[4.0, 1.0, 7.0, 3.0, 6.0, 2.0, 7.0, 5.0]",False,200,0.5,512
47,4,1.0,1.411460500000004,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
48,8,1.0,2.6162836999999968,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
49,16,1.0,4.922104200000007,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
50,32,1.0,9.349465900000013,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
51,64,1.0,17.921866800000004,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
52,128,1.0,35.38844120000002,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
53,256,1.0,65.84302829999999,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
54,512,1.0,127.1434523,"[3.0, 0.0, 7.0, 4.0, 2.0, 0.0, 6.0, 1.0]",False,200,0.5,512
55,0,10.0,0.1766116000000011,"[6, 3, 4, 6, 2, 7, 4, 4]",False,200,0.75,512
56,1,2.0,0.46540649999997186,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
57,2,2.0,0.8161094999999818,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
58,4,2.0,1.4469801999999845,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
59,8,2.0,2.591114300000015,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
60,16,2.0,4.860511799999983,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
61,32,2.0,9.014014199999963,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
62,64,2.0,17.75461949999999,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
63,128,2.0,34.61831649999999,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
64,256,2.0,68.64320149999998,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
65,512,2.0,132.75270890000002,"[5.0, 0.0, 2.0, 4.0, 7.0, 3.0, 6.0, 1.0]",False,200,0.75,512
66,0,10.0,0.44554840000000695,"[6, 3, 4, 6, 2, 7, 4, 4]",False,500,0.25,512
67,1,3.0,0.9583827000000156,"[5.0, 5.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.25,512
68,2,2.0,1.559518300000036,"[3.0, 0.0, 7.0, 4.0, 6.0, 0.0, 0.0, 5.0]",False,500,0.25,512
69,4,1.0,2.6583135000000198,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
70,8,1.0,4.736566400000015,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
71,16,1.0,8.786746999999991,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
72,32,1.0,16.838419499999986,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
73,64,1.0,32.77831279999998,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
74,128,1.0,64.31198940000002,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
75,256,1.0,127.16079090000005,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
76,512,1.0,245.0400505,"[3.0, 7.0, 2.0, 4.0, 6.0, 0.0, 3.0, 5.0]",False,500,0.25,512
77,0,10.0,0.4451162000000295,"[6, 3, 4, 6, 2, 7, 4, 4]",False,500,0.5,512
78,1,2.0,0.9894638000000668,"[6.0, 3.0, 7.0, 2.0, 5.0, 1.0, 4.0, 0.0]",False,500,0.5,512
79,2,2.0,1.6452370000000656,"[6.0, 3.0, 7.0, 2.0, 5.0, 1.0, 4.0, 0.0]",False,500,0.5,512
80,4,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
81,8,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
82,16,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
83,32,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
84,64,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
85,128,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
86,256,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
87,512,0.0,2.7887450000000626,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",False,500,0.5,512
88,0,10.0,0.4375544000000673,"[6, 3, 4, 6, 2, 7, 4, 4]",False,500,0.75,512
89,1,3.0,0.912868900000035,"[1.0, 1.0, 0.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
90,2,2.0,1.5196434000000636,"[7.0, 3.0, 6.0, 6.0, 2.0, 0.0, 5.0, 4.0]",False,500,0.75,512
91,4,2.0,2.6727963000000727,"[7.0, 3.0, 6.0, 6.0, 2.0, 0.0, 5.0, 4.0]",False,500,0.75,512
92,8,1.0,4.813773900000001,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
93,16,1.0,8.97676110000009,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
94,32,1.0,17.291584700000044,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
95,64,1.0,33.55820070000004,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
96,128,1.0,65.66977440000005,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
97,256,1.0,128.9168601,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
98,512,1.0,252.6861477,"[4.0, 1.0, 7.0, 5.0, 7.0, 2.0, 0.0, 6.0]",False,500,0.75,512
99,0,10.0,0.8592344999999568,"[6, 3, 4, 6, 2, 7, 4, 4]",False,1000,0.25,512
100,1,1.0,1.7710453999999345,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
101,2,1.0,2.7515611000000035,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
102,4,1.0,4.651103599999942,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
103,8,1.0,8.330603200000041,"[1.0, 3.0, 5.0, 7.0, 2.0, 4.0, 6.0, 1.0]",False,1000,0.25,512
104,16,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
105,32,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
106,64,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
107,128,0.0,9.313516299999947,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",False,1000,0.25,512
