fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations,time
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
8.0,50,0.5,0.1,5,1000,2413,0.16254799999999991
