fitness,schedule,max_attempts,max_iters,n_invocations,time
5.0,GeomDecay,10,1000,137,0.0038346000000002434
15.0,GeomDecay,10,1000,137,0.0038346000000002434
15.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
13.0,GeomDecay,10,1000,137,0.0038346000000002434
13.0,GeomDecay,10,1000,137,0.0038346000000002434
13.0,GeomDecay,10,1000,137,0.0038346000000002434
13.0,GeomDecay,10,1000,137,0.0038346000000002434
13.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
14.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
16.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
17.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
18.0,GeomDecay,10,1000,137,0.0038346000000002434
