fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations
8.0,50,0.75,0.1,200,500,25571
8.0,50,0.75,0.1,200,500,25571
8.0,50,0.75,0.1,200,500,25571
8.0,50,0.75,0.1,200,500,25571
10.0,50,0.75,0.1,200,500,25571
10.0,50,0.75,0.1,200,500,25571
11.0,50,0.75,0.1,200,500,25571
11.0,50,0.75,0.1,200,500,25571
13.0,50,0.75,0.1,200,500,25571
15.0,50,0.75,0.1,200,500,25571
15.0,50,0.75,0.1,200,500,25571
15.0,50,0.75,0.1,200,500,25571
61.0,50,0.75,0.1,200,500,25571
61.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
64.0,50,0.75,0.1,200,500,25571
66.0,50,0.75,0.1,200,500,25571
66.0,50,0.75,0.1,200,500,25571
66.0,50,0.75,0.1,200,500,25571
66.0,50,0.75,0.1,200,500,25571
66.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
67.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
68.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
71.0,50,0.75,0.1,200,500,25571
