fitness,schedule,max_attempts,max_iters,n_invocations
0.0,GeomDecay,10,500,885
0.0,GeomDecay,10,500,885
0.0,GeomDecay,10,500,885
0.0,GeomDecay,10,500,885
0.0,GeomDecay,10,500,885
0.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
1.0,GeomDecay,10,500,885
