fitness,restarts,max_attempts,max_iters,n_invocations,time
2.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
8.0,10,10,500,182,0.004249399999999959
