fitness,restarts,max_attempts,max_iters,n_invocations
306.0,10,100,500,5630
306.0,10,100,500,5630
306.0,10,100,500,5630
310.0,10,100,500,5630
310.0,10,100,500,5630
310.0,10,100,500,5630
317.0,10,100,500,5630
326.0,10,100,500,5630
334.0,10,100,500,5630
343.0,10,100,500,5630
343.0,10,100,500,5630
343.0,10,100,500,5630
343.0,10,100,500,5630
350.0,10,100,500,5630
350.0,10,100,500,5630
350.0,10,100,500,5630
350.0,10,100,500,5630
350.0,10,100,500,5630
352.0,10,100,500,5630
361.0,10,100,500,5630
361.0,10,100,500,5630
361.0,10,100,500,5630
361.0,10,100,500,5630
364.0,10,100,500,5630
367.0,10,100,500,5630
367.0,10,100,500,5630
371.0,10,100,500,5630
371.0,10,100,500,5630
371.0,10,100,500,5630
371.0,10,100,500,5630
371.0,10,100,500,5630
378.0,10,100,500,5630
378.0,10,100,500,5630
378.0,10,100,500,5630
384.0,10,100,500,5630
384.0,10,100,500,5630
384.0,10,100,500,5630
384.0,10,100,500,5630
385.0,10,100,500,5630
385.0,10,100,500,5630
385.0,10,100,500,5630
386.0,10,100,500,5630
386.0,10,100,500,5630
386.0,10,100,500,5630
386.0,10,100,500,5630
386.0,10,100,500,5630
393.0,10,100,500,5630
393.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
394.0,10,100,500,5630
401.0,10,100,500,5630
401.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
410.0,10,100,500,5630
420.0,10,100,500,5630
420.0,10,100,500,5630
425.0,10,100,500,5630
425.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
431.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
436.0,10,100,500,5630
437.0,10,100,500,5630
446.0,10,100,500,5630
449.0,10,100,500,5630
450.0,10,100,500,5630
