fitness,schedule,max_attempts,max_iters,n_invocations
300.0,GeomDecay,100,500,412
300.0,GeomDecay,100,500,412
300.0,GeomDecay,100,500,412
302.0,GeomDecay,100,500,412
307.0,GeomDecay,100,500,412
307.0,GeomDecay,100,500,412
307.0,GeomDecay,100,500,412
317.0,GeomDecay,100,500,412
324.0,GeomDecay,100,500,412
328.0,GeomDecay,100,500,412
328.0,GeomDecay,100,500,412
335.0,GeomDecay,100,500,412
335.0,GeomDecay,100,500,412
341.0,GeomDecay,100,500,412
350.0,GeomDecay,100,500,412
350.0,GeomDecay,100,500,412
357.0,GeomDecay,100,500,412
357.0,GeomDecay,100,500,412
367.0,GeomDecay,100,500,412
376.0,GeomDecay,100,500,412
379.0,GeomDecay,100,500,412
379.0,GeomDecay,100,500,412
387.0,GeomDecay,100,500,412
387.0,GeomDecay,100,500,412
387.0,GeomDecay,100,500,412
387.0,GeomDecay,100,500,412
394.0,GeomDecay,100,500,412
394.0,GeomDecay,100,500,412
394.0,GeomDecay,100,500,412
394.0,GeomDecay,100,500,412
394.0,GeomDecay,100,500,412
395.0,GeomDecay,100,500,412
395.0,GeomDecay,100,500,412
395.0,GeomDecay,100,500,412
395.0,GeomDecay,100,500,412
396.0,GeomDecay,100,500,412
396.0,GeomDecay,100,500,412
396.0,GeomDecay,100,500,412
397.0,GeomDecay,100,500,412
400.0,GeomDecay,100,500,412
400.0,GeomDecay,100,500,412
400.0,GeomDecay,100,500,412
400.0,GeomDecay,100,500,412
400.0,GeomDecay,100,500,412
408.0,GeomDecay,100,500,412
408.0,GeomDecay,100,500,412
408.0,GeomDecay,100,500,412
409.0,GeomDecay,100,500,412
410.0,GeomDecay,100,500,412
411.0,GeomDecay,100,500,412
411.0,GeomDecay,100,500,412
411.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
421.0,GeomDecay,100,500,412
420.0,GeomDecay,100,500,412
420.0,GeomDecay,100,500,412
425.0,GeomDecay,100,500,412
425.0,GeomDecay,100,500,412
425.0,GeomDecay,100,500,412
434.0,GeomDecay,100,500,412
434.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
441.0,GeomDecay,100,500,412
450.0,GeomDecay,100,500,412
456.0,GeomDecay,100,500,412
464.0,GeomDecay,100,500,412
464.0,GeomDecay,100,500,412
474.0,GeomDecay,100,500,412
474.0,GeomDecay,100,500,412
474.0,GeomDecay,100,500,412
477.0,GeomDecay,100,500,412
484.0,GeomDecay,100,500,412
485.0,GeomDecay,100,500,412
485.0,GeomDecay,100,500,412
485.0,GeomDecay,100,500,412
494.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
503.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
506.0,GeomDecay,100,500,412
510.0,GeomDecay,100,500,412
510.0,GeomDecay,100,500,412
510.0,GeomDecay,100,500,412
510.0,GeomDecay,100,500,412
517.0,GeomDecay,100,500,412
517.0,GeomDecay,100,500,412
517.0,GeomDecay,100,500,412
517.0,GeomDecay,100,500,412
526.0,GeomDecay,100,500,412
526.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
530.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
538.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
540.0,GeomDecay,100,500,412
