fitness,restarts,max_attempts,max_iters,n_invocations,time
14.0,10,10,500,213,0.009625999999999912
14.0,10,10,500,213,0.009625999999999912
14.0,10,10,500,213,0.009625999999999912
24.0,10,10,500,213,0.009625999999999912
24.0,10,10,500,213,0.009625999999999912
24.0,10,10,500,213,0.009625999999999912
24.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
27.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
32.0,10,10,500,213,0.009625999999999912
