,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,10.0,0.054443200000000136,"[6, 3, 4, 6, 2, 7, 4, 4]",150,0.4,2048
1,1,3.0,0.11770760000000013,"[0, 7, 0, 2, 5, 1, 6, 3]",150,0.4,2048
2,2,3.0,0.19785640000000004,"[0, 7, 0, 2, 5, 1, 6, 3]",150,0.4,2048
3,4,2.0,0.37761939999999994,"[3, 6, 4, 7, 5, 0, 2, 0]",150,0.4,2048
4,8,2.0,0.6740519000000003,"[3, 6, 4, 7, 5, 0, 2, 0]",150,0.4,2048
5,16,1.0,1.2499716000000003,"[3, 7, 4, 2, 0, 5, 1, 6]",150,0.4,2048
6,32,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
7,64,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
8,128,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
9,256,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
10,512,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
11,1024,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
12,2048,0.0,1.4275994,"[3, 6, 4, 2, 0, 5, 7, 1]",150,0.4,2048
13,0,10.0,0.05217439999999929,"[6, 3, 4, 6, 2, 7, 4, 4]",150,0.5,2048
14,1,3.0,0.11956089999999975,"[3, 1, 4, 2, 0, 2, 7, 7]",150,0.5,2048
15,2,3.0,0.1939138999999992,"[3, 1, 4, 2, 0, 2, 7, 7]",150,0.5,2048
16,4,3.0,0.3546650999999992,"[3, 1, 4, 2, 0, 2, 7, 7]",150,0.5,2048
17,8,2.0,0.6358175999999993,"[6, 4, 7, 0, 3, 5, 2, 6]",150,0.5,2048
18,16,1.0,1.141832,"[3, 4, 6, 1, 5, 2, 0, 7]",150,0.5,2048
19,32,1.0,2.1092521999999994,"[3, 4, 6, 1, 5, 2, 0, 7]",150,0.5,2048
20,64,0.0,3.2151758,"[4, 1, 7, 0, 3, 6, 2, 5]",150,0.5,2048
21,128,0.0,3.2151758,"[4, 1, 7, 0, 3, 6, 2, 5]",150,0.5,2048
22,256,0.0,3.2151758,"[4, 1, 7, 0, 3, 6, 2, 5]",150,0.5,2048
23,512,0.0,3.2151758,"[4, 1, 7, 0, 3, 6, 2, 5]",150,0.5,2048
24,1024,0.0,3.2151758,"[4, 1, 7, 0, 3, 6, 2, 5]",150,0.5,2048
25,2048,0.0,3.2151758,"[4, 1, 7, 0, 3, 6, 2, 5]",150,0.5,2048
26,0,10.0,0.0477224000000005,"[6, 3, 4, 6, 2, 7, 4, 4]",150,0.6,2048
27,1,3.0,0.10444750000000003,"[7, 4, 1, 1, 6, 5, 2, 2]",150,0.6,2048
28,2,3.0,0.17279260000000018,"[7, 4, 1, 1, 6, 5, 2, 2]",150,0.6,2048
29,4,2.0,0.31321779999999944,"[5, 1, 4, 7, 0, 6, 1, 2]",150,0.6,2048
30,8,2.0,0.5561856000000001,"[5, 1, 4, 7, 0, 6, 1, 2]",150,0.6,2048
31,16,1.0,1.0247981000000008,"[7, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
32,32,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
33,64,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
34,128,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
35,256,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
36,512,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
37,1024,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
38,2048,0.0,1.6145701000000008,"[5, 3, 6, 0, 7, 1, 4, 2]",150,0.6,2048
39,0,10.0,0.07148220000000016,"[6, 3, 4, 6, 2, 7, 4, 4]",200,0.4,2048
40,1,3.0,0.14613720000000008,"[0, 7, 5, 2, 5, 7, 0, 3]",200,0.4,2048
41,2,3.0,0.25009509999999935,"[0, 7, 5, 2, 5, 7, 0, 3]",200,0.4,2048
42,4,2.0,0.43387829999999994,"[5, 1, 6, 0, 3, 7, 4, 3]",200,0.4,2048
