,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,10.0,0.00041780000000013473,"[6, 3, 4, 6, 2, 7, 4, 4]",25,512,0
1,1,8.0,0.0013772000000003004,"[6, 3, 4, 6, 2, 7, 1, 4]",25,512,0
2,2,5.0,3.8799870000000003,"[6, 3, 7, 6, 2, 7, 1, 4]",25,512,0
3,4,5.0,3.893495,"[6, 3, 7, 6, 2, 7, 1, 4]",25,512,0
4,8,2.0,3.9054187,"[6, 3, 7, 2, 2, 5, 1, 4]",25,512,0
5,16,1.0,3.9189199,"[6, 3, 7, 2, 0, 5, 1, 4]",25,512,0
6,32,1.0,3.9342419000000004,"[6, 3, 7, 2, 0, 5, 1, 4]",25,512,0
7,64,1.0,3.9553775000000004,"[6, 3, 7, 2, 0, 5, 1, 4]",25,512,0
8,128,1.0,3.988726,"[6, 3, 7, 2, 0, 5, 1, 4]",25,512,0
9,256,1.0,4.044383700000001,"[6, 3, 7, 2, 0, 5, 1, 4]",25,512,0
10,512,1.0,4.151060000000001,"[6, 3, 7, 2, 0, 5, 1, 4]",25,512,0
11,0,8.0,4.1647227,"[4, 5, 1, 2, 2, 6, 5, 7]",25,512,1
12,1,8.0,4.165408900000001,"[4, 5, 1, 2, 2, 6, 5, 7]",25,512,1
13,2,8.0,4.1784725,"[4, 5, 1, 2, 2, 6, 5, 7]",25,512,1
14,4,7.0,4.1927509999999995,"[4, 1, 1, 2, 2, 6, 5, 7]",25,512,1
15,8,3.0,4.2086500000000004,"[4, 1, 3, 0, 2, 6, 1, 7]",25,512,1
16,16,2.0,4.2291723999999995,"[4, 0, 3, 0, 2, 6, 1, 7]",25,512,1
17,32,2.0,4.248385799999999,"[4, 0, 3, 0, 2, 6, 1, 7]",25,512,1
18,64,2.0,4.2737061,"[4, 0, 3, 0, 2, 6, 1, 7]",25,512,1
19,128,1.0,4.3125746,"[4, 0, 3, 5, 2, 6, 1, 7]",25,512,1
