,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,10.0,0.00039469999999974803,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,1,0.99,0.001,0.9999960331403066,1,8192
1,1,8.0,0.0015239999999998588,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9999846834054595,1,8192
2,2,5.0,0.021302199999999605,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9997859286521231,1,8192
3,4,5.0,0.03666020000000003,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9996316205459226,1,8192
4,8,5.0,0.0545312,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.9994520932812418,1,8192
5,16,4.0,0.08623179999999975,"[6, 4, 6, 0, 2, 7, 1, 4]",geometric,1,0.99,0.001,0.999133716888803,1,8192
6,32,4.0,0.13179349999999967,"[1, 4, 6, 0, 2, 7, 6, 4]",geometric,1,0.99,0.001,0.9986763079159336,1,8192
7,64,3.0,0.19939859999999987,"[7, 4, 6, 0, 2, 7, 7, 7]",geometric,1,0.99,0.001,0.9979979838144477,1,8192
8,128,2.0,0.2669440999999999,"[1, 4, 6, 0, 2, 5, 5, 7]",geometric,1,0.99,0.001,0.9973207178413656,1,8192
9,256,0.0,0.33819889999999964,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9966067575734029,1,8192
10,512,0.0,0.33819889999999964,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9966067575734029,1,8192
11,1024,0.0,0.33819889999999964,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9966067575734029,1,8192
12,2048,0.0,0.33819889999999964,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9966067575734029,1,8192
13,4096,0.0,0.33819889999999964,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9966067575734029,1,8192
14,8192,0.0,0.33819889999999964,"[5, 1, 6, 0, 2, 4, 7, 3]",geometric,1,0.99,0.001,0.9966067575734029,1,8192
15,0,10.0,0.0005071999999999299,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,10,0.99,0.001,9.999949024826474,10,8192
16,1,8.0,0.0017841999999999025,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.999820683515441,10,8192
17,2,5.0,0.0169191999999998,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.998299708142282,10,8192
18,4,5.0,0.032610599999999934,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.996723062209547,10,8192
19,8,5.0,0.05044969999999971,"[6, 3, 2, 0, 2, 7, 1, 4]",geometric,10,0.99,0.001,9.994930920925391,10,8192
20,16,5.0,0.07119279999999995,"[2, 4, 5, 7, 0, 7, 3, 0]",geometric,10,0.99,0.001,9.992847443669973,10,8192
21,32,4.0,0.09726649999999992,"[6, 7, 5, 2, 6, 1, 7, 4]",geometric,10,0.99,0.001,9.990229166647932,10,8192
22,64,8.0,0.13693469999999985,"[7, 1, 3, 3, 5, 4, 7, 3]",geometric,10,0.99,0.001,9.986247068586,10,8192
23,128,8.0,0.20471429999999957,"[5, 1, 1, 5, 4, 4, 2, 0]",geometric,10,0.99,0.001,9.979446676252158,10,8192
24,256,5.0,0.3123767000000002,"[0, 7, 4, 2, 5, 1, 0, 4]",geometric,10,0.99,0.001,9.968654322999674,10,8192
25,512,0.0,0.37895799999999946,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.961985885535421,10,8192
26,1024,0.0,0.37895799999999946,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.961985885535421,10,8192
27,2048,0.0,0.37895799999999946,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.961985885535421,10,8192
28,4096,0.0,0.37895799999999946,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.961985885535421,10,8192
29,8192,0.0,0.37895799999999946,"[5, 2, 4, 7, 0, 3, 1, 6]",geometric,10,0.99,0.001,9.961985885535421,10,8192
30,0,10.0,0.000516500000000697,"[6, 3, 4, 6, 2, 7, 4, 4]",geometric,50,0.99,0.001,49.99974045075024,50,8192
31,1,8.0,0.001714699999999958,"[6, 3, 4, 6, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.99913834188023,50,8192
32,2,5.0,0.021376500000000576,"[6, 3, 7, 6, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.98925910361518,50,8192
33,4,5.0,0.04209390000000024,"[6, 3, 2, 2, 2, 7, 1, 4]",geometric,50,0.99,0.001,49.97885158219814,50,8192
